iter	Passed	Remaining
0	9	9458
1	34	17084
2	48	16125
3	58	14666
4	72	14457
5	85	14192
6	103	14719
7	121	15057
8	133	14688
9	145	14371
1010	169	15211111	185	15239
12	196	14931313	207	14621414	225	14821515	237	14611616	247	14321717	255	13911818	276	14291919	299	14692020	320	14932121	338	150322	342	14567
2323	374	15242424	398	15550
25	403	15099
26	408	14702727	424	147328	424	14215
29	438	14193
30	447	13997
31	458	13860
32	477	13998
33	493	14017
34	509	14047
35	526	14098
36	549	14297
37	563	14270
38	576	14202
39	588	14116
40	593	13883
41	607	13867
42	616	13731
43	622	13531
44	641	13616
45	652	13541
46	662	13440
47	681	13517
48	694	13469
49	704	13392
50	713	13282
51	718	13097
52	739	13222
53	750	13141
54	770	13243
55	784	13228
56	793	13135
57	805	13082
58	827	13197
59	840	13170
60	846	13036
61	869	13156
62	878	13068
63	891	13033
64	903	12991
65	914	12939
66	926	12899
67	935	12819
6868	975	13166969	985	13097070	994	13017171	1006	12972	72	1014	1273	1000	12524
74	174	1037	1275	175	1056	1276	176	1083	12993
77	1099	12995
78	1123	13103
79	1143	13152
80	1156	13116
81	1167	13069
82	1174	1283	183	1187	1284	1175	12652
85	1203	12790
86	1233	12942
87	1279	13265
88	1294	13255
89	1308	13229
90	1314	13127
91	1321	13044
92	1328	12953
93	1333	12854
94	1363	12992
95	1381	13010
96	1400	13040
97	1412	12997
98	1431	13025
99	1439	12952
100	1447	12886
101	1465	12902
102	1481	12900
103	1498	12910
104	1517	12936
105	1541	12999
106	1554	12972
107	1566	12936
108	1573	12863
109	1595	12906
110	1609	12892
111	1625	12890
112	1639	12869
113	1650	12830
114	1665	12814
115	1688	12866
116	1700	12836
117	1712	12798
118	1720	12739
119	1736	12735
120	1755	12751
121	1775	12777
122	1785	12728
123	1799	12713
124	1809	12667
125	1827	12676
126	1847	12701
127	1860	12674
128	1875	12663
129	1891	12655
130	1906	12643
131	1917	12608
132	1923	12542
133	1929	12471
134	1933	12389
135	1937	12309
136	1943	12241
137	1947	12164
138	1955	12113
139	1960	12042
140	1965	11975
141	1983	11984
142	1996	11965
143	2009	11942
144	2035	12004
145	2055	12025
146	2071	12018
147	2088	12022
148	2111	12061
149	2123	12035
150	2131	11982
151	2138	11931
152	2153	11923
153	2166	11902
154	2198	11986
155	2213	11974
156	2223	11936
157	2235	11915
158	2243	11866
159	2252	11823
160	2260	11780
161	2268	11736
162	2274	11676
163	2277	11612
164	2293	11606
165	2311	11615
166	2342	11685
167	2352	11650
168	2363	11623
169	2381	11625
170	2406	11665
171	2417	11638
172	2435	11640
173	2455	11658
174	2475	11671
175	2580	12079
176	2595	12069
177	2612	12062
178	2648	12149
179	2685	12235
180	3027	13699
181	3094	13909
182	3138	14012
183	3225	14304
184	3241	14279
185	3255	14245
186	3272	14227
187	3285	14188
188	3311	14208
189	3333	14209
190	3352	14199
191	3370	14184
192	3402	14225
193	3419	14208
194	3436	14184
195	3447	14143
196	3460	14105
197	3482	14106
198	3495	14068
199	3517	14071
200	3543	14085
201	3576	14128
202	3593	14110
203	3605	14067
204	3619	14036
205	3638	14023
206	3651	13988
207	3666	13962
208	3685	13949
209	3700	13920
210	3714	13889
211	3739	13900
212	3756	13879
213	3765	13829
214	3787	13827
215	3808	13822
216	3816	13771
217	3823	13715
218	3833	13670
219	3841	13618
220	3853	13583
221	3868	13556
222	3886	13540
223	3929	13614
224	3952	13612
225	3969	13594
226	3998	13615
227	4022	13618
228	4040	13604
229	4061	13597
230	4089	13614
231	4106	13595
232	4125	13579
233	4155	13602
234	4168	13571
235	4185	13550
236	4208	13547
237	4224	13525
238	4243	13511
239	4275	13538
240	4293	13522
241	4311	13504
242	4331	13492
243	4352	13484
244	4372	13473
245	4399	13483
246	4421	13478
247	4441	13468
248	4464	13464
249	4484	13452
250	4501	13433
251	4518	13412
252	4538	13401
253	4557	13385
254	4590	13412
255	4614	13411
256	4635	13402
257	4649	13371
258	4672	13369
259	4681	13323
260	4708	13331
261	4716	13285
262	4727	13247
263	4753	13251
264	4783	13268
265	4811	13277
266	4826	13249
267	4832	13200
268	4838	13149
269	4856	13131
270	4881	13132
271	4902	13120
272	4920	13102
273	4944	13101
274	4969	13101
275	4998	13113
276	5017	13096
277	5037	13082
278	5048	13045
279	5053	12994
280	5063	12956
281	5082	12941
282	5103	12931
283	5114	12893
284	5121	12848
285	285	5223	13286	286	5236	13287	287	5259	13288	288	5273	12289	289	5283	12290	5210	12694
291	5241	12708
292	5254	12678
293	5261	12634
294	5277	12611
295	295	5392	12825
296	5420	12829
297	5440	12815
298	5461	12805
299	5481	12789
300	5502	12778
301	5524	12767
302	5552	12772
303	5562	12735
304	5580	12715
305	5602	12705
306	5622	12691
307	5638	12668
308	5657	12651
309	5689	12664
310	5708	12646
311	5726	12628
312	5748	12616
313	5768	12602
314	5779	12567
315	5801	12558
316	5826	12553
317	5843	12532
318	5866	12524
319	5886	12508
320	5908	12498
321	5927	12480
322	5959	12490
323	5986	12490
324	6019	12501
325	6030	12468
326	6041	12434
327	6048	12392
328	6060	12360
329	6083	12350
330	6093	12316
331	6117	12307
332	6138	12295
333	6155	12275
334	6172	12253
335	6184	12221
336	6192	12183
337	6204	12152
338	6228	12144
339	6252	12136
340	6264	12106
341	6273	12069
342	6281	12032
343	6291	11998
344	6301	11963
345	6313	11346	346	6329	11347	347	6350	11348	348	6377	11349	349	6400	11350	350	6414	11351	351	6439	11352	352	6465	11850
353	6498	11354	354	6528	11355	355	6566	11878
356	6608	11901
357	6647	11920
358	6687	11940
359	6725	11955
360	6756	11960
361	6797	11980
362	6827	11980
363	6864	11994
364	6890	11988
