iter	Passed	Remaining
0	1	1777
1	8	4393
2	14	4716
3	19	4845
4	22	4449
5	29	4835
6	32	4597
7	35	4412
8	38	4211
9	40	4020
10	42	3858
11	45	3726
12	49	3726
13	57	4051
14	59	3924
15	63	3889
16	64	3737
17	73	4005
18	77	4008
19	79	3891
20	80	3765
21	83	3691
22	85	3623
23	87	3565
24	89	3482
25	91	3430
26	95	3440
27	97	3385
28	100	3374
29	105	3426
30	108	3381
31	111	3361
32	112	3301
33	114	3257
34	120	3331
35	121	3266
36	123	3201
37	123	3135
38	127	3146
39	133	3199
40	136	3191
41	137	3144
42	140	3120
43	142	3090
44	143	3048
45	144	3001
46	145	2950
47	147	2930
48	149	2907
49	156	2978
50	158	2948
51	162	2960
52	165	2954
53	167	2941
54	171	2942
55	174	2948
56	176	2912
57	178	2894
58	179	2868
59	184	2882
60	187	2884
61	192	2916
62	196	2916
63	200	2932
64	203	2927
65	205	2904
66	207	2883
67	208	2858
68	210	2839
69	212	2824
70	216	2831
71	219	2832
72	223	2832
73	226	2831
74	231	2853
75	242	2945
76	243	2923
77	246	2910
78	248	2896
79	250	2880
80	255	2893
81	257	2885
82	260	2872
83	262	2860
84	263	2840
85	269	2860
86	271	2846
87	274	2840
88	275	2818
89	277	2803
90	279	2794
91	282	2789
92	283	2769
93	286	2761
94	288	2751
95	294	2769
96	298	2781
97	303	2792
98	306	2788
99	309	2788
100	311	2775
101	314	2767
102	316	2759
103	318	2743
104	320	2733
105	324	2733
106	326	2724
107	327	2705
108	330	2700
109	332	2691
110	336	2691
111	338	2685
112	341	2681
113	344	2675
114	348	2682
115	350	2673
116	353	2665
117	356	2661
118	359	2658
119	362	2658
120	367	2671
121	370	2665
122	374	2670
123	377	2663
124	380	2662
125	384	2664
126	385	2651
127	388	2646
128	393	2657
129	397	2657
130	399	2650
131	411	2705
132	415	2707
133	419	2709
134	423	2712
135	425	2704
136	434	2736
137	439	2747
138	446	2766
139	449	2760
140	450	2747
141	454	2744
142	457	2744
143	460	2739
144	462	2727
145	464	2715
146	466	2708
147	469	2700
148	470	2689
149	473	2685
150	475	2676
151	478	2670
152	481	2665
153	482	2652
154	486	2651
155	489	2650
156	493	2650
157	496	2646
158	499	2644
159	504	2650
160	508	2649
161	511	2646
162	514	2642
163	516	2634
164	520	2634
165	523	2629
166	527	2630
167	530	2626
168	533	2625
169	537	2622
170	540	2618
171	543	2617
172	547	2617
173	557	2647
174	560	2644
175	562	2633
176	567	2639
177	575	2656
178	582	2671
179	587	2675
180	590	2670
181	594	2673
182	597	2666
183	599	2656
184	604	2663
185	607	2658
186	610	2654
187	614	2654
188	616	2645
189	632	2695
190	636	2695
191	638	2688
192	642	2685
193	650	2702
194	655	2706
195	658	2700
196	661	2696
197	664	2693
198	667	2688
199	670	2683
200	673	2677
201	677	2676
202	679	2669
203	681	2659
204	684	2654
205	686	2646
206	690	2643
207	693	2640
208	698	2642
209	702	2643
210	709	2652
211	711	2643
212	715	2641
213	721	2649
214	724	2646
215	730	2652
216	736	2658
217	738	2650
218	746	2660
219	750	2661
220	754	2659
221	761	2667
222	765	2666
223	768	2662
224	777	2677
225	788	2701
226	791	2696
227	799	2707
228	801	2699
229	804	2692
230	812	2704
231	816	2701
232	820	2701
233	824	2697
234	827	2695
235	830	2689
236	834	2685
237	838	2683
238	839	2671
239	843	2671
240	850	2677
241	855	2678
242	858	2673
243	955	2960
244	962	2965
245	963	2953
246	967	2948
247	972	2948
248	973	2937
249	978	2934
250	982	2930
251	986	2926
252	989	2920
253	995	2922
254	999	2920
255	1003	2916
256	1005	2906
257	1007	2897
258	1009	2886
259	1011	2878
260	1014	2871
261	1016	2862
262	1018	2853
263	1021	2848
264	1027	2850
265	1030	2844
266	1034	2839
267	1036	2829
268	1039	2825
269	1042	2819
270	1045	2812
271	1048	2806
272	1054	2807
273	1057	2801
274	1060	2795
275	1063	2789
276	1068	2787
277	1071	2784
278	1074	2776
279	1078	2773
280	1080	2763
281	1085	2763
282	1088	2757
283	1091	2752
284	1093	2743
285	1096	2737
286	1098	2729
287	1099	2719
288	1101	2710
289	1103	2700
290	1105	2692
291	1107	2686
292	1109	2677
293	1112	2671
294	1113	2662
295	1118	2660
296	1121	2654
297	1127	2656
298	1129	2647
299	1131	2640
300	1137	2640
301	1139	2634
302	1143	2629
303	1150	2634
304	1157	2638
305	1159	2630
306	1166	2632
307	1169	2628
308	1174	2626
309	1177	2620
310	1181	2618
311	1186	2616
312	1191	2614
313	1194	2609
314	1199	2608
315	1200	2599
316	1206	2598
317	1207	2588
318	1213	2589
319	1216	2584
320	1218	2578
321	1222	2574
322	1224	2566
323	1227	2560
324	1229	2554
325	1232	2548
326	1234	2541
327	1238	2537
328	1241	2531
329	1243	2524
330	1248	2522
