BertzCT,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3v,Chi4n,EState_VSA1,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HallKierAlpha,HeavyAtomMolWt,Kappa3,MaxAbsEStateIndex,MinEStateIndex,NumHeteroatoms,SMR_VSA10,SMR_VSA5,SlogP_VSA3,VSA_EState9
323.3907823,9.879917853,5.875576147,5.875576147,4.304757339,4.304757339,2.754513141,1.749203102,0.0,222.0680796,1.181818182,1.727272727,2.363636364,-0.24,212.163,8.17,11.92250394,0.171585412,4,17.74406608,0.0,4.794537184,35.52735686
273.7237977,7.259037475,4.441466753,5.834957955,3.285046029,4.48523529,2.20137482,1.289774594,45.13547137,260.0297186,1.346153846,2.076923077,2.769230769,-0.09,247.031,3.201490511,10.93233796,-4.830449539,10,7.822697123,30.70589228,13.8256584,44.7073097
521.6438224,10.9113027,8.527859221,11.05086439,6.665291047,9.519705869,5.82482214,1.770578623,15.64539425,382.1310265,1.085714286,1.742857143,2.4,-0.78,354.106,15.03388953,11.2380483,-5.066255336,9,15.64539425,73.14361574,17.9644751,45.66011997
567.4311656,12.45334335,7.089119243,12.83370946,6.478023032,10.97815113,7.914541993,3.067181417,95.63955417,530.0702767,1.162790698,1.573770492,2.27027027,-1.3,506.124,6.724301321,11.17117021,-5.276575465,19,15.64539425,62.10730426,31.96194817,87.50999696
112.7707349,4.414719447,2.866235992,2.866235992,1.8756344,1.8756344,1.036449932,0.727664288,17.98045141,118.0629942,1.444444444,2.111111111,2.555555556,-1.1,108.056,3.931271989,9.855740741,-1.676296296,4,11.93861058,18.88348408,9.589074368,33.33333333
144.9737366,5.54011122,3.481747672,3.481747672,2.481028635,2.481028635,1.512478162,0.671208827,36.92992724,150.0528234,1.083333333,1.583333333,1.916666667,-0.98,140.05,3.015404674,10.08746929,-1.669305556,6,11.75255023,24.41586555,9.589074368,43.33333333
397.3782531,7.630228955,4.050364357,4.050364357,2.42790101,2.42790101,1.920495018,1.120915327,0.0,249.9548394,1.25,1.833333333,2.333333333,-1.39,243.065,1.84535989,11.37486064,-0.296712963,10,5.907179729,37.56750392,4.736862954,42.16666667
406.2684453,10.75612661,5.985558532,5.985558532,4.248140504,4.248140504,2.837764085,1.718438895,42.72389851,308.0743467,1.142857143,1.857142857,2.428571429,-1.81,292.111,2.025663274,11.12942793,-1.554927432,12,12.94444173,36.80985867,18.94745182,53.66666667
626.9494616,8.343336593,4.431698411,7.46091824,3.38144649,6.071114664,2.936651672,1.770578623,52.95816849,352.2249741,1.0,1.777777778,2.333333333,0.44,320.215,6.948400351,11.74965775,-5.581501461,17,23.46809137,30.64376672,31.96194817,61.66666667
31.01955001,1.414213562,0.49279928,0.49279928,0.11785113,0.11785113,0.0,0.0,0.0,61.01637834,2.0,2.0,2.0,-0.04,58.016,1.47,8.583333333,-0.25,2,6.410095306,0.0,4.794537184,13.83333333
221.2638658,7.221032672,4.390691674,5.889596218,3.38144649,4.577084214,2.270069222,0.898364948,7.822697123,260.0297186,1.222222222,1.777777778,2.222222222,-0.09,247.031,3.453383332,10.59031557,-4.957220372,10,7.822697123,0.0,13.8256584,44.55468238
228.7888228,11.30806041,9.207074737,9.207074737,6.665291047,6.665291047,4.67759737,3.068499013,0.0,313.2201263,0.966666667,1.62962963,2.433333333,-1.96,280.263,14.67451954,11.09760674,0.171585412,3,17.74406608,106.9425309,4.794537184,52.30700113
952.6794199,7.613392203,4.836950237,4.836950237,3.877675541,3.877675541,2.937081972,1.718438895,0.0,262.0453687,1.214285714,1.857142857,2.214285714,0.02,247.031,6.787396122,11.02457097,-2.084164813,5,17.74406608,78.24175097,4.794537184,51.13308914
224.3672689,4.947264863,4.71624163,5.548946305,3.293262878,4.459037825,2.171408449,1.289774594,0.0,259.045703,1.272727273,2.0,3.0,-0.73,245.039,2.358651237,9.912037037,0.039907407,4,23.46809137,25.3043057,0.0,16.83333333
791.2936204,9.593172146,5.004680089,5.004680089,4.928733922,4.928733922,3.670527891,2.151882328,0.0,268.0794321,1.142857143,1.785714286,2.428571429,-1.35,256.172,1.868551524,10.48000483,-0.806779074,2,10.96924436,0.0,0.0,33.89821264
169.1036009,6.112590865,3.281313951,3.281313951,2.399134275,2.399134275,1.529449222,0.900532041,24.41586555,166.0266087,1.545454546,2.272727273,2.818181818,-0.2,160.084,1.052595156,9.618425926,-0.927962963,6,0.0,31.02274752,9.843390349,35.65755008
131.0369846,4.03658126,2.239272035,2.239272035,1.975620833,1.975620833,1.015499976,0.102062073,17.98045141,132.0422587,1.333333333,1.777777778,1.888888889,-1.1,124.051,3.479710145,9.855740741,-2.16087963,5,11.75255023,13.34455882,9.589074368,37.16666667
91.28421252,3.553418013,2.218621903,2.218621903,1.160967068,1.160967068,0.626669655,0.263350638,12.01114612,122.0367794,1.888888889,2.777777778,2.777777778,-0.57,116.075,5.43,9.935949074,-0.959212963,4,5.969305288,19.38639965,4.794537184,25.33333333
714.3532093,12.05626199,6.415766907,7.848912828,5.796326807,7.615855847,3.857457212,2.47804266,52.95816849,339.9960491,1.461538462,2.076923077,2.846153846,-1.39,325.085,6.559861081,11.2380483,-5.444269153,19,15.64539425,24.53980033,31.96194817,47.51588191
85.12704562,4.304530453,3.377156753,3.377156753,2.646790427,2.646790427,1.381652991,0.519337567,0.0,130.1218464,1.166666667,1.666666667,2.0,-0.55,114.083,2.193985627,9.24337963,0.169259259,2,0.0,19.76538045,4.794537184,19.33333333
194.3183856,5.609060905,3.971007039,3.971007039,2.514181782,2.514181782,1.507704509,0.687148794,29.90570822,162.0528234,1.666666667,2.0,2.5,-1.39,152.061,4.286691532,10.13667958,-1.707314815,6,17.72185552,25.3043057,19.17814874,39.0
2381.032682,29.55509832,19.67588457,24.1826701,12.54611016,18.84429012,12.99123446,5.298687347,90.65893834,881.1832885,1.035087719,1.701754386,2.396226415,-2.48,839.305,15.90085172,12.7395771,-5.595602014,29,23.46809137,134.8856594,57.11831384,124.4334995
240.2879489,4.698377303,2.786883464,2.786883464,1.928698767,1.928698767,1.157634178,0.654489245,5.969305288,148.0371734,1.0,1.5,1.8,-1.32,140.05,2.501909824,10.26175926,-0.98787037,3,17.57024518,0.0,0.0,32.0
236.1649959,4.466326495,2.86297841,2.86297841,2.006604567,2.006604567,1.210545095,0.420563293,0.0,126.0013597,0.714285714,1.095238095,1.5,-0.66,120.085,1.402945662,5.159027778,0.606481482,1,0.0,6.420821623,0.0,15.16666667
201.8713939,5.365190624,2.173512859,4.640534082,1.811731173,2.846245359,0.628397703,0.358701167,38.96937942,191.0582431,1.0,1.6,1.9,-0.52,185.02,2.63941859,10.08708711,-4.730487804,13,22.2754856,12.46266245,13.8256584,28.9179677
12.26466251,1.414213562,0.569035594,0.569035594,0.213865472,0.213865472,0.0,0.0,0.0,60.99311747,2.0,2.0,2.0,-0.55,60.008,1.47,7.875,0.25,2,6.286160523,6.9237372,4.794537184,6.5
1779.053348,20.09055459,14.49974174,21.95094779,11.51038875,17.60629569,11.9220055,4.601377741,84.55497195,823.1414237,1.051282051,1.692307692,2.282051282,-2.44,783.285,12.87649819,12.69297455,-5.584855634,29,69.14135342,63.75370599,50.69749222,90.25338678
185.3117986,4.842535255,3.402333775,3.402333775,2.816314032,2.816314032,1.920815796,1.037111592,0.0,142.0782503,1.272727273,1.818181818,2.272727273,-1.23,132.121,1.235986288,8.90861182,0.181921367,2,5.907179729,0.0,0.0,21.0
333.0200383,7.221032672,4.381690641,5.8820014,3.114315507,4.910293337,2.661065337,1.141506463,45.07334581,274.0841235,1.333333333,1.933333333,2.466666667,-0.43,260.16,2.973905023,11.01178855,-4.490659888,10,7.822697123,30.64376672,14.19532284,44.71623866
276.6484617,4.877010098,2.739272035,2.739272035,1.877144418,1.877144418,1.188578376,0.898364948,0.0,117.0789786,0.916666667,1.5,2.0,-1.51,110.095,1.581758759,10.46037037,0.034279101,3,6.286160523,6.420821623,0.0,23.33333333
389.8843631,8.517455851,4.317724175,9.649899936,3.073856927,6.410968633,3.937798745,1.289232087,47.17982979,373.0943709,1.3,2.05,2.6,-1.36,354.106,6.498845479,11.74965775,-5.276575465,14,32.75761147,24.53980033,31.96194817,44.6402155
627.0938759,6.308060413,5.875576147,5.875576147,3.0,3.0,2.562484212,1.470844689,0.0,222.0680796,0.875,1.3125,1.875,-2.69,212.163,1.278057008,9.838983135,-0.417167895,2,0.0,57.47053937,6.420821623,44.33333333
371.2311089,9.701907263,5.216097235,7.183243905,3.842813231,5.818822866,3.341276042,1.99419509,19.96850434,283.1179255,1.2,2.133333333,2.866666667,0.03,261.085,18.36090259,10.14755716,-4.490659888,8,7.822697123,69.30841575,9.088795447,32.77594107
133.7744375,4.414719447,2.580464759,2.580464759,1.978699195,1.978699195,1.180315333,0.361281666,12.01114612,130.0266087,1.75,2.25,2.75,-0.61,124.051,3.297014925,10.24579208,-1.165509259,4,5.969305288,18.88348408,4.794537184,32.0
146.2188491,5.574586063,3.481747672,3.481747672,2.427411095,2.427411095,1.948873481,1.122277226,5.969305288,180.0633881,1.416666667,1.916666667,2.416666667,-1.38,168.06,1.581758759,5.097015306,-0.792685185,5,5.969305288,0.0,0.0,32.66666667
164.6383389,5.736382105,3.376291529,3.376291529,2.209208878,2.209208878,1.366712861,0.604007114,0.0,164.0684735,1.25,2.166666667,2.916666667,-1.18,152.108,1.784007561,9.931355033,0.671481482,3,6.286160523,0.0,0.0,21.5
83.40716557,4.16390246,2.095445115,2.095445115,1.230735259,1.230735259,0.545394731,0.133333333,6.103966388,153.0425931,1.5,2.0,2.3,-0.61,146.081,3.017821871,10.16026927,-0.910092593,5,6.472220865,6.103966388,4.736862954,29.94972222
78.52932501,1.914213562,0.638010441,0.638010441,0.223606798,0.223606798,0.05,0.0,0.0,103.0421992,2.0,2.0,2.0,-0.33,98.084,1.67,8.6875,0.516944444,1,6.286160523,13.34455882,4.794537184,11.0
855.3034604,14.15721562,7.138690453,10.15257888,6.179601415,8.172950381,5.739739413,2.790498098,82.64301273,439.2392443,1.105263158,1.684210526,2.157894737,-1.3,402.322,6.724301321,11.72108636,-4.967774278,15,15.64539425,24.53980033,22.70133806,73.71582565
2625.276798,37.19150512,26.87949486,32.3862804,22.02592188,27.64646832,16.33869998,8.663838558,199.197256,1199.439169,0.677966102,1.204487179,1.753623188,-3.22,1119.546,13.03652419,13.03850129,-5.111579445,39,68.93426293,164.2613725,84.58650873,286.4776314
2196.783123,32.55509832,22.50016859,28.10797463,21.33144424,21.33144424,13.24246724,6.716780968,84.55497195,1055.360525,1.3,1.866666667,2.866666667,-3.99,963.45,15.03388953,12.69060832,-5.578587746,31,69.14135342,99.3298178,50.69749222,133.054136
26.26466251,2.77005561,1.281284334,1.281284334,0.512281932,0.512281932,0.0,0.0,12.07327168,93.9879892,1.333333333,1.666666667,1.666666667,-0.98,86.026,1.784007561,9.583333333,-1.083333333,3,12.0004198,0.0,9.589074368,22.16666667
1217.94462,11.77296337,6.359489015,9.490879776,5.336399677,7.430180187,5.64279052,2.01558251,46.24737705,412.0185159,1.233333333,1.866666667,2.5,-2.4,398.076,4.785546729,11.74965775,-4.712517764,16,30.77374313,24.53980033,13.8256584,55.76853371
70.09004635,2.77005561,1.65204574,3.101155374,1.084723626,2.337902193,0.341111516,0.0,12.01114612,111.0320284,2.0,2.2,2.2,-0.57,106.06,4.94,9.519305556,-1.180555556,4,5.969305288,6.041840829,4.794537184,19.73944444
349.645888,6.968432913,4.54660986,4.54660986,3.455164039,3.455164039,2.270069222,1.48766625,0.0,210.0892089,1.153846154,1.769230769,2.384615385,-1.77,200.105,2.63941859,10.74091167,-0.711851852,4,6.286160523,6.420821623,6.420821623,48.83333333
