iter	Logloss
0	0.690525979
1	0.6879788712
2	0.6854707163
3	0.6830011706
4	0.6805612818
5	0.6781799932
6	0.6758551353
7	0.6735658295
8	0.6713633895
9	0.6691591772
10	0.6669955254
11	0.6648785862
12	0.662819694
13	0.6608092668
14	0.6588394585
15	0.6569283205
16	0.6550529789
17	0.6531745641
18	0.6513529976
19	0.6495849622
20	0.6478433011
21	0.6460954781
22	0.6443806951
23	0.6427718341
24	0.6411611868
25	0.6395768552
26	0.6380468574
27	0.6365198503
28	0.6350122236
29	0.6335579016
30	0.6321067704
31	0.6307022423
32	0.6293217737
33	0.6279447183
34	0.6266095312
35	0.6253065807
36	0.6240071905
37	0.6227159753
38	0.6214929983
39	0.6202788544
40	0.6190989156
41	0.6178999579
42	0.6167444065
43	0.615582867
44	0.61448145
45	0.613384095
46	0.6123066341
47	0.6112702583
48	0.6102541155
49	0.6092076541
50	0.6081961489
51	0.6072447142
52	0.6063018784
53	0.6053633452
54	0.6044292321
55	0.6035193747
56	0.6026451077
57	0.6017770064
58	0.6009081299
59	0.6000859156
60	0.5992518704
61	0.5984603574
62	0.5976569012
63	0.596875203
64	0.596094145
65	0.5953208007
66	0.594570358
67	0.5938551761
68	0.5931243698
69	0.592420705
70	0.5917424812
71	0.591095119
72	0.5904135288
73	0.589718457
74	0.5890786855
75	0.5884480909
76	0.587780389
77	0.5871865861
78	0.5865750663
79	0.5859767272
80	0.5853751575
81	0.5847934942
82	0.5842187016
83	0.5836460672
84	0.5830954312
85	0.5825633349
86	0.5820354894
87	0.5815401468
88	0.5810000918
89	0.580489243
90	0.5799691874
91	0.5794638221
92	0.5789465337
93	0.5784524147
94	0.5779633753
95	0.5775111679
96	0.5770501738
97	0.5766325514
98	0.5761676922
99	0.5757122572
100	0.5752328117
101	0.5747864793
102	0.5743260923
103	0.5739077569
104	0.5735417668
105	0.5731395428
106	0.5727302478
107	0.5723269495
108	0.5719452136
109	0.5715322174
110	0.5711562683
111	0.5708115519
112	0.5704207291
113	0.5700008542
114	0.5696382387
115	0.569226403
116	0.5688627043
117	0.5685075575
118	0.5681733532
119	0.5678411631
120	0.5674909435
121	0.5671735927
122	0.5668583924
123	0.5665091338
124	0.5661755525
125	0.5658933325
126	0.5655566718
127	0.5652513399
128	0.5648783101
129	0.5645733764
130	0.5642921813
131	0.5639614293
132	0.5636831504
133	0.5634047452
134	0.563138881
135	0.5628308957
136	0.5625595647
137	0.5622911726
138	0.5619894982
139	0.561731387
140	0.5614680295
141	0.5612129438
142	0.5609728311
143	0.5606978988
144	0.5604369939
145	0.5602049235
146	0.5599480912
147	0.5596961149
148	0.5594605917
149	0.5592016776
150	0.5589297277
151	0.5586862867
152	0.5584176475
153	0.5581530573
154	0.5578635391
155	0.5576317566
156	0.5573823839
157	0.557142537
158	0.5569351618
159	0.5567107745
160	0.5564727013
161	0.5562524365
162	0.5559954097
163	0.5557354358
164	0.5554941988
165	0.555274577
166	0.5550651825
167	0.5548388196
168	0.5546568727
169	0.5544250901
170	0.5542471894
171	0.5540698281
172	0.5538243136
173	0.5536073351
174	0.5533837675
175	0.5531798116
176	0.5529900607
177	0.5527897413
178	0.5525550993
179	0.5523816764
180	0.5521868222
181	0.5519677113
182	0.5517435521
183	0.5515541123
184	0.551400581
185	0.551176603
186	0.5509588371
187	0.5507528197
188	0.5505420413
189	0.5503407559
190	0.5501810778
191	0.5499811459
192	0.5497820741
193	0.5496190516
194	0.549401988
195	0.5491825849
196	0.5490455472
197	0.5488509934
198	0.5486355442
199	0.5484202007
200	0.5482508791
201	0.548042884
202	0.5478862075
203	0.5477243655
204	0.5475454757
205	0.5473765705
206	0.5472231287
207	0.5470188127
208	0.5468316208
209	0.5466799487
210	0.5465395218
211	0.5463828077
212	0.546204418
213	0.5460576801
214	0.5458584844
215	0.5456916696
216	0.545534315
217	0.5453450402
218	0.5451555061
219	0.5449813852
220	0.5448516518
221	0.5446738141
222	0.5445342964
223	0.5443999524
224	0.544251071
225	0.5441357456
226	0.5439696417
227	0.5438175101
228	0.5436653105
229	0.5434720307
230	0.5433119701
231	0.543156732
232	0.5430173439
233	0.5428723937
234	0.5426859116
235	0.5425386597
236	0.5424021695
237	0.5422717851
238	0.5421414732
239	0.5419779076
