iter	Passed	Remaining
0	53	12904
1	93	11090
2	120	9510
3	156	9261
4	193	9116
5	230	8988
6	261	8706
7	292	8493
8	330	8474
9	368	8476
10	404	8416
11	447	8499
12	473	8270
13	507	8194
14	544	8167
15	578	8103
16	606	7961
17	642	7921
18	678	7888
19	714	7864
20	742	7739
21	777	7705
22	813	7677
23	852	7669
24	891	7664
25	928	7639
26	987	7793
27	1034	7832
28	1086	7905
29	1127	7895
30	1173	7910
31	1223	7950
32	1266	7943
33	1306	7914
34	1351	7916
35	1394	7904
36	1437	7888
37	1479	7866
38	1515	7810
39	1548	7744
40	1583	7684
41	1616	7618
42	1653	7574
43	1697	7560
44	1759	7624
45	1799	7590
46	1841	7560
47	1882	7531
48	1920	7486
49	1962	7456
50	2010	7451
51	2057	7439
52	2109	7444
53	2154	7419
54	2192	7374
55	2235	7345
56	2282	7328
57	2331	7316
58	2371	7273
59	2411	7233
60	2440	7162
61	2474	7105
62	2512	7059
63	2554	7023
64	2594	6984
65	2635	6948
66	2675	6908
67	2709	6853
68	2743	6798
69	2781	6755
70	2820	6713
71	2859	6672
72	2907	6650
73	2946	6610
74	2987	6571
75	3032	6544
76	3073	6505
77	3105	6450
78	3146	6412
79	3177	6354
80	3213	6308
81	3246	6255
82	3275	6195
83	3311	6149
84	3344	6099
85	3378	6049
86	3405	5988
87	3439	5941
88	3475	5897
89	3512	5854
90	3540	5796
91	3574	5750
92	3608	5704
93	3645	5662
94	3672	5605
95	3707	5561
96	3743	5518
97	3771	5464
98	3800	5413
99	3835	5369
100	3867	5322
101	3896	5271
102	3930	5227
103	3966	5187
104	4002	5145
105	4035	5101
106	4067	5056
107	4104	5016
108	4141	4976
109	4182	4943
110	4228	4914
111	4270	4880
112	4307	4840
113	4341	4798
114	4377	4758
115	4420	4725
116	4460	4689
117	4502	4655
118	4537	4613
119	4570	4570
120	4601	4525
121	4639	4487
122	4682	4453
123	4721	4416
124	4768	4387
125	4805	4347
126	4841	4308
127	4870	4261
128	4904	4219
129	4939	4179
130	4972	4137
131	5000	4091
132	5033	4049
133	5070	4011
134	5105	3971
135	5134	3926
136	5171	3888
137	5208	3849
138	5251	3815
139	5293	3781
140	5336	3747
141	5371	3706
142	5400	3663
143	5437	3624
144	5477	3588
145	5514	3550
146	5551	3512
147	5580	3469
148	5614	3428
149	5649	3389
150	5686	3351
151	5720	3312
152	5750	3269
153	5784	3230
154	5821	3192
155	5855	3152
156	5882	3110
157	5919	3071
158	5954	3033
159	5988	2994
160	6015	2951
161	6050	2913
162	6087	2875
163	6120	2836
164	6148	2794
165	6187	2758
166	6221	2719
167	6258	2682
168	6284	2640
169	6319	2602
170	6353	2563
171	6381	2522
172	6411	2482
173	6447	2445
174	6482	2407
175	6514	2368
176	6547	2330
177	6582	2292
178	6618	2255
179	6653	2217
180	6679	2177
181	6714	2139
182	6751	2102
183	6789	2066
184	6816	2026
185	6852	1989
186	6886	1951
187	6931	1917
188	6962	1878
189	6992	1840
190	7029	1803
191	7065	1766
192	7108	1731
193	7136	1692
194	7167	1653
195	7203	1617
196	7238	1579
197	7267	1541
198	7300	1504
199	7335	1467
200	7371	1430
201	7399	1391
202	7438	1355
203	7474	1319
204	7510	1282
205	7546	1245
206	7577	1208
207	7610	1170
208	7645	1134
209	7686	1098
210	7717	1060
211	7746	1023
212	7783	986
213	7816	949
214	7846	912
215	7878	875
216	7913	838
217	7950	802
218	7986	765
219	8018	728
220	8050	692
221	8088	655
222	8123	619
223	8149	582
224	8180	545
225	8216	508
226	8245	472
227	8277	435
228	8312	399
229	8352	363
230	8392	326
231	8426	290
232	8457	254
233	8490	217
234	8528	181
235	8560	145
236	8587	108
237	8624	72
238	8659	36
239	8696	0
