BertzCT,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3v,Chi4n,EState_VSA1,EState_VSA2,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HallKierAlpha,HeavyAtomMolWt,Kappa3,MaxAbsEStateIndex,MinEStateIndex,NumHeteroatoms,PEOE_VSA10,PEOE_VSA14,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA10,SMR_VSA5,SlogP_VSA3,VSA_EState9
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,3.0,3.0,3.0,-0.04,14.007,-104.04,4.75,0.25,2,0.0,5.476191836,0.0,0.0,0.0,0.0,0.0,0.0,7.25
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,2.5,2.5,2.5,-0.04,14.007,-104.04,7.0,1.0,1,0.0,0.0,0.0,0.0,0.0,6.7890761,0.0,4.794537184,10.0
2.0,1.0,0.447213596,0.447213596,0.0,0.0,0.0,0.0,0.0,0.0,31.01838972,3.0,3.0,3.0,-0.04,28.01,-27.04,7.680555556,0.0,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,12.14580722,0.0,0.0
2.0,1.0,0.577350269,0.577350269,0.0,0.0,0.0,0.0,0.0,0.0,34.0054793,3.0,3.0,3.0,-0.08,31.998,-14.58,4.75,0.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21632494,32.97989603,1.0,1.0,1.0,0.35,32.067,-27.04,0.0,0.0,1,0.0,12.21632494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00273965,2.0,2.0,2.0,-0.04,15.999,-104.04,4.75,0.25,2,0.0,6.425697531,0.0,0.0,0.0,12.62878915,0.0,0.0,2.0
2.0,1.0,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,1.5,1.5,1.5,-0.08,14.007,-14.58,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2.0,1.732050808,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,0.0,44.02621475,3.0,3.0,3.0,-0.73,40.021,0.173734284,7.680555556,0.25,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,8.180555556
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.01697727,27.01089903,3.0,3.0,3.0,-0.04,26.018,2.209452055,7.430555556,0.069444444,1,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,7.430555556
8.0,2.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,27.01089903,3.0,3.0,3.0,-0.51,26.018,-4.470784314,9.333333333,-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33333333
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,2.0,2.0,2.0,-0.04,14.007,-104.04,7.0,-4.666666667,2,0.0,11.83402844,0.0,0.0,0.0,0.0,0.0,0.0,9.430555556
2.0,1.0,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,0.0,29.0054793,1.5,1.5,1.5,-0.08,28.01,-14.58,6.5,3.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,0.35,32.067,7.778571429,3.777777778,0.444444444,1,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
2.0,1.0,0.577350269,0.577350269,0.0,0.0,0.0,0.0,0.0,0.0,126.9050216,1.5,1.5,1.5,-0.04,126.904,-27.04,2.75,1.875,1,0.0,0.0,0.0,7.047671983,0.0,0.0,0.0,0.0,4.75
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969305288,0.0,34.0054793,3.0,3.0,3.0,-0.57,32.067,-14.58,3.777777778,-0.833333333,3,0.0,5.969305288,0.0,0.0,0.0,5.969305288,0.0,0.0,15.66666667
2.0,1.0,0.577350269,0.577350269,0.0,0.0,0.0,0.0,0.0,0.0,31.04219916,1.5,1.5,1.5,-0.04,26.018,-27.04,7.25,0.25,2,0.0,11.83402844,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00273965,3.0,3.0,3.0,-0.04,15.999,-104.04,4.75,0.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,1.0,1.0,1.0,-0.04,14.007,-104.04,4.75,0.25,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,4.75
8.0,1.732050808,0.447213596,1.341640787,0.0,0.0,0.0,0.0,0.0,0.0,45.02146372,1.0,1.0,1.0,-0.04,42.017,2.209452055,2.0,2.0,2,0.0,0.0,0.0,21.14301595,0.0,0.0,0.0,0.0,8.180555556
2.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,45.05784922,1.5,1.5,1.5,0.35,38.029,-14.58,4.5,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,0.35,32.067,7.778571429,3.777777778,0.444444444,1,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
